id,pred
4_0465_2019-01-28.jpg_8_clsnn0011100000d,0.88643163
4_0465_2019-01-28.jpg_9_clsnn1000000000d,0.15703669
4_0471_2019-01-28.jpg_0_clsnn0011100000d,0.8668787
4_0471_2019-01-28.jpg_1_clsnn0011100000d,0.7384181
4_0471_2019-01-28.jpg_2_clsnn0011100000d,0.72961015
4_0471_2019-01-28.jpg_3_clsnn1001000000d,0.0272982
4_0471_2019-01-28.jpg_4_clsnn0010101000d,0.17867069
4_0471_2019-01-28.jpg_5_clsnn0001000000d,0.17129558
4_0471_2019-01-28.jpg_6_clsnn0010101000d,0.48024693
4_0471_2019-01-28.jpg_7_clsnn0011100000d,0.299574
4_0471_2019-01-28.jpg_8_clsnn0011000000d,0.037249863
4_0471_2019-01-28.jpg_9_clsnn1000000000d,0.0741666
4_0477_2019-01-28.jpg_0_clsnn0010101000d,0.47168028
4_0477_2019-01-28.jpg_1_clsnn0010100000d,0.021624902
4_0477_2019-01-28.jpg_2_clsnn0011100000d,0.6168535
4_0477_2019-01-28.jpg_3_clsnn1001000000d,0.035144854
4_0477_2019-01-28.jpg_4_clsnn1000000000d,0.08590867
4_0477_2019-01-28.jpg_5_clsnn0001000000d,0.14912057
4_0477_2019-01-28.jpg_6_clsnn0011100000d,0.6146819
4_0477_2019-01-28.jpg_7_clsnn0011100000d,0.47427624
4_0477_2019-01-28.jpg_8_clsnn0011100000d,0.8326355
4_0477_2019-01-28.jpg_9_clsnn0011000000d,0.11484288
4_0483_2019-01-28.jpg_0_clsnn0011100000d,0.49336523
4_0483_2019-01-28.jpg_1_clsnn0001000000d,0.2845784
4_0483_2019-01-28.jpg_2_clsnn0010100000d,0.027141072
4_0483_2019-01-28.jpg_3_clsnn0011100000d,0.8846803
4_0483_2019-01-28.jpg_4_clsnn1000000000d,0.10479676
4_0483_2019-01-28.jpg_5_clsnn0011100000d,0.7290613
4_0483_2019-01-28.jpg_6_clsnn0011100000d,0.7591135
4_0483_2019-01-28.jpg_7_clsnn0011000000d,0.1087326
4_0483_2019-01-28.jpg_8_clsnn1000000000d,0.20434608
4_0489_2019-01-28.jpg_0_clsnn0011100000d,0.64942956
4_0489_2019-01-28.jpg_1_clsnn0011100000d,0.83425754
4_0489_2019-01-28.jpg_2_clsnn0010100000d,0.061188113
4_0489_2019-01-28.jpg_3_clsnn0011100000d,0.8444898
4_0489_2019-01-28.jpg_4_clsnn0011100000d,0.42509004
4_0489_2019-01-28.jpg_5_clsnn0011000000d,0.11178288
4_0489_2019-01-28.jpg_6_clsnn0001000000d,0.14991271
4_0489_2019-01-28.jpg_7_clsnn1000000000d,0.19872814
4_0495_2019-01-28.jpg_0_clsnn0010100000d,0.3460947
4_0495_2019-01-28.jpg_1_clsnn0001000000d,0.36324155
4_0495_2019-01-28.jpg_2_clsnn0011100000d,0.59658843
4_0495_2019-01-28.jpg_3_clsnn0010100000d,0.061728965
4_0495_2019-01-28.jpg_4_clsnn0011100000d,0.6211865
4_0495_2019-01-28.jpg_5_clsnn0011100000d,0.8031206
4_0495_2019-01-28.jpg_6_clsnn0011100000d,0.700453
4_0495_2019-01-28.jpg_7_clsnn1000000000d,0.26804936
4_0495_2019-01-28.jpg_8_clsnn0011000000d,0.04286087
4_0501_2019-01-28.jpg_0_clsnn0011100000d,0.759386
4_0501_2019-01-28.jpg_1_clsnn0010100000d,0.6218529
4_0501_2019-01-28.jpg_2_clsnn0011100000d,0.46639752
4_0501_2019-01-28.jpg_3_clsnn1000000000d,0.10068647
4_0501_2019-01-28.jpg_4_clsnn0011100000d,0.8715913
4_0501_2019-01-28.jpg_5_clsnn0011000000d,0.13421658
4_0501_2019-01-28.jpg_6_clsnn0010100000d,0.10456652
4_0501_2019-01-28.jpg_7_clsnn0000000010d,0.32235745
4_0501_2019-01-28.jpg_8_clsnn0011000000d,0.12337493
4_0507_2019-01-28.jpg_0_clsnn0011001000d,0.12896082
4_0507_2019-01-28.jpg_1_clsnn0011101000d,0.9609763
4_0507_2019-01-28.jpg_2_clsnn0011000000d,0.10106693
4_0507_2019-01-28.jpg_3_clsnn0011100000d,0.044623286
4_0507_2019-01-28.jpg_4_clsnn0011101000d,0.41689217
4_0507_2019-01-28.jpg_5_clsnn0011101000d,0.58252746
4_0507_2019-01-28.jpg_6_clsnn0011000000d,0.39021444
4_0507_2019-01-28.jpg_7_clsnn0011101000d,0.82485056
4_0507_2019-01-28.jpg_8_clsnn1000000000d,0.17306621
4_0507_2019-01-28.jpg_9_clsnn0000100000d,0.22672565
4_0513_2019-01-28.jpg_0_clsnn0011100000d,0.15768483
4_0513_2019-01-28.jpg_10_clsnn0000000010d,0.39578664
4_0513_2019-01-28.jpg_1_clsnn0011100000d,0.70562994
4_0513_2019-01-28.jpg_2_clsnn0010100000d,0.0843907
4_0513_2019-01-28.jpg_3_clsnn0011100000d,0.01873025
4_0513_2019-01-28.jpg_4_clsnn0011000000d,0.23053508
4_0513_2019-01-28.jpg_5_clsnn0011100000d,0.23394544
4_0513_2019-01-28.jpg_6_clsnn0011100000d,0.9469176
4_0513_2019-01-28.jpg_7_clsnn0010100000d,0.76178265
4_0513_2019-01-28.jpg_8_clsnn0011000000d,0.0685933
4_0513_2019-01-28.jpg_9_clsnn0011100000d,0.08857565
4_0519_2019-01-28.jpg_0_clsnn0100100010d,0.47011253
4_0519_2019-01-28.jpg_1_clsnn0011101000d,0.5524579
4_0519_2019-01-28.jpg_2_clsnn0011101000d,0.86112475
4_0519_2019-01-28.jpg_3_clsnn0011101000d,0.8356949
4_0519_2019-01-28.jpg_4_clsnn0011000000d,0.12671717
4_0519_2019-01-28.jpg_5_clsnn0011101000d,0.4823971
4_0519_2019-01-28.jpg_6_clsnn0001100000d,0.10272112
4_0519_2019-01-28.jpg_7_clsnn0100100010d,0.84977484
